29.541, 20.3127, 1015.36, 0.0951219
29.719, 20.3102, 1015.35, -0.126829
29.899, 20.3127, 1015.35, -0.190244
30.08, 20.3076, 1015.33, -0.105691
30.259, 20.3152, 1015.35, -0.0845528
30.44, 20.3102, 1015.37, -0.0634146
30.621, 20.3152, 1015.35, -0.0634146
30.8, 20.3178, 1015.32, -0.169106
30.981, 20.3178, 1015.34, -0.126829
31.161, 20.3127, 1015.33, 0.0739837
31.34, 20.3152, 1015.33, -0.169106
31.518, 20.3203, 1015.31, -0.0422764
31.699, 20.3203, 1015.34, -0.0422764
31.879, 20.3203, 1015.3, -0.169106
32.06, 20.3127, 1015.32, 0.11626
32.24, 20.3152, 1015.37, -0.190244
32.419, 20.3279, 1015.35, 0.0845528
32.599, 20.3228, 1015.34, -0.105691
32.779, 20.3254, 1015.35, -0.147967
32.958, 20.3228, 1015.36, -0.211382
33.137, 20.3178, 1015.36, -0.190244
33.317, 20.3279, 1015.35, -0.338211
33.496, 20.3178, 1015.33, -0.0422764
33.675, 20.3228, 1015.35, -0.211382
34.005, 20.1758, 1015.35, -0.147967
34.185, 20.2568, 1015.38, -0.0845528
34.365, 20.3, 1015.36, -0.23252
34.543, 20.3102, 1015.35, 0.0
34.721, 20.3152, 1015.35, -0.253658
34.9, 20.3178, 1015.35, -0.147967
35.08, 20.3178, 1015.32, -0.253658
35.258, 20.3305, 1015.34, -0.126829
35.439, 20.3228, 1015.32, -0.126829
35.618, 20.3279, 1015.38, -0.274796
35.796, 20.3228, 1015.35, -0.147967
35.975, 20.3305, 1015.38, -0.359349
36.155, 20.3279, 1015.35, -0.105691
36.333, 20.3279, 1015.35, -0.126829
36.512, 20.3355, 1015.37, -0.274796
36.691, 20.333, 1015.35, -0.295935
36.871, 20.333, 1015.36, -0.380487
37.05, 20.3381, 1015.39, -0.147967
37.23, 20.333, 1015.37, -0.126829
37.41, 20.3355, 1015.36, -0.190244
37.588, 20.333, 1015.35, -0.274796
37.79, 20.3025, 1015.34, -0.317073
37.969, 20.3228, 1015.34, -0.317073
38.15, 20.333, 1015.35, -0.169106
38.33, 20.3305, 1015.36, -0.401626
38.508, 20.3305, 1015.36, 0.0105691
38.694, 20.333, 1015.37, -0.211382
38.872, 20.3305, 1015.36, -0.317073
39.05, 20.3406, 1015.38, -0.190244
