16.698, (-9.11712, 2.72939, -1.06302), (-0.0105253, -0.0110582, -0.016121), 21.8006
16.877, (-9.09317, 2.65756, -0.622492), (-0.0187856, -0.00439663, -0.012124), 21.8006
17.058, (-9.09317, 2.81079, -0.83797), (-0.0660827, -0.00546248, -0.00786064), 21.8476
17.238, (-9.05008, 2.62404, -0.723049), (-0.0381041, -0.00732772, -0.0131899), 21.8006
17.417, (-9.02135, 2.69587, -0.742202), (-0.0163874, -0.00679479, -0.0137228), 21.7065
17.597, (-9.09796, 2.52828, -0.833182), (-0.00612864, -0.00905972, -0.0149219), 21.8006
17.776, (-9.03571, 2.6001, -0.71826), (-0.0361056, -0.00479632, -0.00866003), 21.8006
17.955, (-9.13627, 2.6432, -0.80924), (-0.0313093, -0.0085268, -0.0113247), 21.8006
18.133, (-9.09796, 2.75812, -0.885855), (-0.0222496, -0.00599541, -0.0119908), 21.8947
18.312, (-9.09317, 2.61926, -0.794875), (-0.0386371, -0.00626187, -0.010925), 21.8006
18.491, (-9.06923, 2.63841, -0.761356), (-0.0307764, -0.00839357, -0.00972588), 21.8947
18.669, (-9.00219, 2.6001, -0.895431), (-0.0363721, -0.0063951, -0.00945941), 21.9418
18.873, (-9.03093, 2.61447, -0.842759), (-0.0349066, -0.0063951, -0.0107917), 21.8006
19.052, (-9.07881, 2.71981, -0.708683), (-0.0287779, -0.00626187, -0.0133231), 21.8006
19.231, (-9.0405, 2.62883, -0.828393), (-0.0274456, -0.00679479, -0.00839357), 21.8476
19.43, (-9.05487, 2.68629, -0.756567), (-0.0333078, -0.00572894, -0.00905972), 21.8006
19.609, (-9.05487, 2.62404, -0.756567), (-0.0506279, -0.00759418, -0.0114579), 21.9888
19.788, (-9.06445, 2.68629, -0.938527), (-0.0306432, -0.00466309, -0.0111914), 21.8476
19.967, (-9.02614, 2.55222, -0.775721), (-0.029977, -0.00293109, -0.00985911), 21.8476
20.149, (-9.06923, 2.67672, -0.737414), (-0.0117243, -0.00492955, -0.0141225), 21.8476
20.329, (-9.00219, 2.59531, -0.665588), (-0.0429004, -0.0063951, -0.00786064), 21.8476
20.509, (-9.0836, 2.61926, -0.90022), (-0.00399694, -0.0106585, -0.0147887), 21.8947
20.69, (-9.05008, 2.57137, -0.703895), (-0.0464977, -0.00319755, -0.0063951), 21.9418
20.869, (-9.03571, 2.7246, -0.924162), (-0.076075, -0.00319755, -0.00786064), 21.8476
21.046, (-9.00219, 2.62404, -0.852335), (-0.0554242, -0.0063951, -0.0101256), 21.8947
21.247, (-9.06445, 2.65756, -0.828393), (-0.0245145, -0.00772741, -0.0134564), 21.8947
21.424, (-9.12191, 2.6432, -0.852335), (-0.0619525, -0.00652833, -0.0117243), 21.8006
21.604, (-9.06445, 2.5618, -0.651223), (-0.0486294, -0.00746095, -0.0085268), 21.8006
21.808, (-8.99262, 2.71502, -0.785298), (-0.00999234, -0.00479632, -0.0117243), 21.9418
21.988, (-9.02614, 2.7246, -1.00078), (-0.0619525, -0.00492955, -0.0081271), 21.8947
22.172, (-9.01177, 2.6001, -0.756567), (-0.0239816, -0.00479632, -0.00879326), 21.8947
22.351, (-9.08839, 2.65277, -0.957681), (-0.0719449, -0.00546248, -0.00972588), 21.9418
22.53, (-9.10754, 2.81079, -0.83797), (-0.0390367, -0.00666156, -0.010925), 21.8947
22.708, (-9.0405, 2.58095, -0.890643), (-0.0318423, -0.00586217, -0.0101256), 21.8476
22.887, (-9.01656, 2.68629, -0.948104), (-0.0463645, -0.00786064, -0.0106585), 21.9888
23.066, (-9.02135, 2.62404, -0.823605), (-0.0407687, -0.00652833, -0.0101256), 21.8947
23.246, (-9.10754, 2.74375, -0.866701), (-0.0363721, -0.00599541, -0.0119908), 21.9888
23.425, (-9.08839, 2.69587, -0.756567), (-0.0318423, -0.00786064, -0.00879326), 21.8476
23.606, (-9.05965, 2.70066, -0.780509), (-0.0269127, -0.00706125, -0.0102588), 21.8947
23.785, (-9.01656, 2.55222, -0.713472), (-0.0218499, -0.00786064, -0.012124), 21.9418
23.962, (-9.04529, 2.61926, -0.756567), (-0.028245, -0.00492955, -0.00879326), 21.9418
24.141, (-9.03571, 2.73418, -0.770933), (-0.0221164, -0.0063951, -0.0131899), 22.0359
24.32, (-9.0836, 2.61447, -0.943315), (-0.0315758, -0.00652833, -0.0114579), 21.8947
24.499, (-9.08839, 2.60489, -0.828393), (-0.0310429, -0.00666156, -0.0131899), 21.8947
24.678, (-9.01656, 2.63362, -0.833182), (-0.0347733, -0.00466309, -0.00759418), 21.9418
24.984, (-9.00219, 2.63362, -0.737414), (-0.032242, -0.00399694, -0.0125237), 21.9418
25.165, (-9.03093, 2.67193, -0.818817), (-0.0307764, -0.00572894, -0.0113247), 21.8476
25.344, (-9.03093, 2.64799, -0.847547), (-0.0377044, -0.00306432, -0.00985911), 21.9888
25.523, (-9.05008, 2.62404, -0.828393), (-0.0385038, -0.00679479, -0.00972588), 21.9888
25.703, (-9.0405, 2.68151, -0.799663), (-0.032242, -0.00399694, -0.012124), 21.9418
25.882, (-9.07881, 2.70545, -0.847547), (-0.0301103, -0.00772741, -0.00972588), 21.8947
26.062, (-9.03093, 2.63362, -0.852335), (-0.0337075, -0.00519602, -0.0114579), 21.9418
26.242, (-9.07402, 2.64799, -0.90022), (-0.0330413, -0.00519602, -0.00959265), 21.8947
26.422, (-9.02614, 2.65756, -0.80924), (-0.0318423, -0.00679479, -0.012124), 22.0359
26.601, (-9.0836, 2.67672, -0.933739), (-0.0379709, -0.00386371, -0.0101256), 21.8947
26.783, (-9.06923, 2.69108, -0.780509), (-0.0331746, -0.00732772, -0.0134564), 21.9418
26.962, (-9.02614, 2.65756, -0.780509), (-0.0338407, -0.00746095, -0.0114579), 21.9888
27.143, (-9.0836, 2.63841, -0.804451), (-0.0385038, -0.00546248, -0.0125237), 21.9888
27.323, (-9.04529, 2.67672, -0.833182), (-0.0355727, -0.00826034, -0.0106585), 21.9418
27.501, (-9.09796, 2.64799, -0.775721), (-0.0327749, -0.00599541, -0.0111914), 21.9888
27.68, (-9.05965, 2.67672, -0.742202), (-0.032242, -0.00612864, -0.0110582), 21.9418
27.86, (-9.06923, 2.57137, -0.847547), (-0.0321087, -0.00612864, -0.0111914), 21.8947
28.04, (-9.11233, 2.74375, -0.694318), (-0.0243813, -0.00666156, -0.012657), 22.0359
28.22, (-9.05487, 2.60489, -0.814028), (-0.0385038, -0.0081271, -0.00879326), 21.9888
28.401, (-9.0836, 2.70545, -0.842759), (-0.0346401, -0.00519602, -0.00959265), 22.0359
28.581, (-9.05487, 2.68151, -0.766144), (-0.0361056, -0.00692802, -0.00945941), 21.9418
28.768, (-9.04529, 2.60489, -0.871489), (-0.032242, -0.00919295, -0.0125237), 21.9888
28.947, (-9.05008, 2.69108, -0.737414), (-0.033974, -0.00826034, -0.0114579), 21.9888
29.127, (-9.08839, 2.60489, -0.857124), (-0.0321087, -0.00599541, -0.0115911), 21.9888
29.307, (-8.96389, 2.6432, -0.871489), (-0.0343736, -0.00386371, -0.0111914), 21.8947
29.487, (-9.01177, 2.72939, -0.770933), (-0.0353063, -0.00839357, -0.0115911), 22.0359
29.665, (-9.04529, 2.62404, -0.785298), (-0.0318423, -0.00186524, -0.0107917), 21.9888
29.844, (-8.99741, 2.59053, -0.804451), (-0.0354395, -0.00719449, -0.00985911), 21.9418
30.024, (-9.06923, 2.63841, -0.694318), (-0.0342404, -0.00532925, -0.012124), 21.9888
30.205, (-9.0836, 2.72939, -0.823605), (-0.0382374, -0.00679479, -0.0113247), 21.9888
30.384, (-9.05965, 2.62404, -0.861912), (-0.0358392, -0.00479632, -0.0113247), 22.0829
30.565, (-9.07881, 2.65756, -0.814028), (-0.0363721, -0.0063951, -0.00919295), 22.0829
30.746, (-9.05008, 2.68629, -0.83797), (-0.0329081, -0.00452986, -0.0117243), 22.0359
30.925, (-9.01177, 2.64799, -0.684741), (-0.0379709, -0.00559571, -0.0115911), 21.9418
31.107, (-9.01177, 2.65277, -0.866701), (-0.0302435, -0.00626187, -0.0110582), 21.8947
31.286, (-9.04529, 2.65277, -0.857124), (-0.0353063, -0.00719449, -0.00985911), 21.9418
31.464, (-9.07881, 2.6432, -0.80924), (-0.0381041, -0.00879326, -0.00985911), 21.9888
31.642, (-9.06445, 2.66714, -0.790086), (-0.0350398, -0.00599541, -0.00972588), 21.9418
31.824, (-9.02135, 2.60968, -0.727837), (-0.0335743, -0.00746095, -0.0145222), 21.9888
32.004, (-9.05008, 2.6432, -0.770933), (-0.0331746, -0.00599541, -0.0105253), 21.9888
32.185, (-9.04529, 2.74854, -1.02472), (-0.0439663, -0.00919295, -0.0113247), 22.0359
32.365, (-9.14106, 2.48039, -2.16915), (-0.0917963, -0.0261133, -0.010392), 21.9888
32.544, (-9.02614, 2.83473, -1.05824), (-0.0491623, -0.00892649, -0.0085268), 21.9418
32.724, (-9.06445, 2.69108, -0.742202), (-0.0427672, -0.00732772, -0.00786064), 22.0359
32.903, (-9.06445, 2.63841, -0.919373), (-0.0278453, -0.00972588, -0.0145222), 21.9888
33.083, (-9.15063, 2.51391, -0.679953), (-0.0572894, -0.00253139, -0.00692802), 22.0829
33.261, (-9.12669, 2.72939, -0.847547), (-0.0398361, -0.0063951, -0.00999234), 21.9888
33.442, (-9.06923, 2.76291, -0.708683), (-0.0239816, -0.00452986, -0.0107917), 22.0359
33.621, (-9.05008, 2.68151, -0.871489), (-0.0314426, -0.00959265, -0.0134564), 21.9888
33.8, (-9.05487, 2.68151, -0.866701), (-0.0385038, -0.00706125, -0.00972588), 22.0829
34.129, (-9.0836, 2.57137, -0.675165), (-0.0386371, -0.00532925, -0.0110582), 21.9888
34.31, (-9.06445, 2.66714, -0.823605), (-0.0347733, -0.00732772, -0.00972588), 21.9888
34.49, (-9.05487, 2.75333, -0.746991), (-0.0433002, -0.00692802, -0.0111914), 22.0359
34.667, (-9.04529, 2.78685, -0.83797), (-0.0411684, -0.00732772, -0.0085268), 22.0829
34.845, (-9.11712, 2.3942, -1.10612), (-0.0301103, -0.00985911, -0.00932619), 22.0829
35.026, (-9.04529, 2.48997, -0.881066), (-0.0261133, -0.00679479, -0.0114579), 22.0829
35.205, (-9.04529, 2.78206, -0.675165), (-0.00732772, -0.0042634, -0.0141225), 21.9888
35.383, (-9.06445, 2.73418, -0.967257), (0.0538254, -0.00519602, -0.0191853), 22.0359
35.564, (-9.10275, 2.806, -1.13485), (-0.223695, -0.000532925, -0.00293109), 22.0359
35.743, (-9.00698, 2.5618, -0.823605), (0.00373047, -0.00959265, -0.0149219), 22.0359
35.921, (-9.05008, 2.52349, -0.972046), (0.0175865, -0.00706125, -0.0150551), 22.13
36.101, (-9.05965, 2.70545, -0.943315), (-0.0147887, -0.00706125, -0.0113247), 22.0829
36.28, (-9.08839, 2.6001, -0.967257), (-0.000399694, -0.00879326, -0.0137228), 21.9888
36.458, (-9.06923, 2.67193, -1.14922), (-0.0262465, -0.00972588, -0.0114579), 21.8947
36.637, (-9.02614, 2.68151, -0.799663), (-0.0619525, -0.00306432, -0.00626187), 22.0359
36.815, (-9.08839, 2.69108, -0.919373), (-0.0784732, -0.00119908, -0.00959265), 21.9888
36.996, (-8.98783, 2.83473, -0.952892), (-0.0572894, -0.00692802, -0.00945941), 22.13
37.175, (-9.02135, 2.63362, -0.924162), (-0.0353063, -0.00826034, -0.0105253), 21.9888
37.355, (-9.0836, 2.53306, -0.852335), (-0.032242, -0.00866003, -0.00945941), 22.0359
37.535, (-9.0836, 2.64799, -0.962469), (-0.0263798, -0.00839357, -0.0107917), 22.0359
37.713, (-8.99262, 2.53785, -0.924162), (-0.0101256, -0.00999234, -0.0105253), 22.0829
37.914, (-8.96389, 2.37505, -0.68953), (-0.0595543, -0.00346401, -0.00732772), 22.0829
38.095, (-9.05487, 2.69108, -1.02951), (-0.051294, -0.00492955, -0.00959265), 22.0829
38.274, (-9.2895, 5.99029, -2.32238), (0.399027, 0.00626187, -0.090464), 22.0359
38.455, (-9.03571, 2.38462, -0.459687), (-0.0440995, -0.00413017, -0.00945941), 22.13
38.633, (-8.98304, 2.37505, -0.828393), (-0.000532925, -0.00746095, -0.00879326), 22.0829
38.818, (-9.00698, 2.59053, -0.828393), (-0.0524931, -0.00186524, -0.00559571), 22.0829
38.996, (-8.93995, 2.73418, -0.785298), (-0.0425007, -0.00586217, -0.00532925), 22.13
39.175, (-9.12191, 2.83952, -0.670376), (0.033441, -0.015588, -0.0281118), 22.0829
39.354, (-9.06923, 2.62883, -0.842759), (0.207041, -0.00932619, -0.0369051), 22.13
39.534, (-9.0405, 2.44687, -0.742202), (0.014389, -0.00559571, -0.0162542), 21.9888
39.711, (-9.0405, 2.67193, -0.842759), (-0.0608867, -0.00479632, -0.00999234), 21.9888
39.89, (-9.0405, 2.62404, -0.852335), (-0.00546248, -0.0102588, -0.0105253), 22.0829
40.07, (-9.02614, 2.76291, -1.04866), (-0.0402358, -0.00799387, -0.0147887), 22.0359
40.249, (-9.06445, 2.62404, -0.775721), (-0.0275789, -0.00972588, -0.0106585), 22.0359
40.427, (-9.06445, 2.74375, -0.885855), (-0.0222496, -0.00719449, -0.0131899), 22.13
40.606, (-9.07881, 2.69108, -0.852335), (-0.0233155, -0.00666156, -0.0117243), 22.0829
40.785, (-9.07402, 2.67672, -0.924162), (-0.0190521, -0.0063951, -0.012124), 22.0829
40.963, (-9.10275, 2.65277, -0.952892), (-0.0243813, -0.00652833, -0.0131899), 22.0829
41.143, (-9.0405, 2.67193, -0.799663), (-0.0402358, -0.00293109, -0.00759418), 22.13
41.323, (-9.0836, 2.66714, -0.852335), (-0.0345069, -0.00679479, -0.0102588), 22.0359
41.502, (-9.05008, 2.68629, -0.866701), (-0.0425007, -0.00532925, -0.010392), 22.0829
41.682, (-9.06923, 2.69108, -0.948104), (-0.0382374, -0.00572894, -0.0114579), 22.0829
41.861, (-9.06445, 2.7246, -0.828393), (-0.0367718, -0.00599541, -0.00959265), 22.1771
42.041, (-9.05965, 2.59531, -0.914585), (-0.0305099, -0.00706125, -0.00932619), 22.0829
42.22, (-9.07881, 2.63841, -0.986411), (-0.0399694, -0.0042634, -0.010925), 22.13
42.399, (-9.01177, 2.67193, -0.972046), (-0.031709, -0.00652833, -0.0102588), 22.0829
42.578, (-9.04529, 2.71024, -0.71826), (-0.0259801, -0.00905972, -0.0123905), 22.0359
42.756, (-9.02135, 2.70545, -0.794875), (-0.0257136, -0.00346401, -0.010925), 22.0829
42.935, (-9.03093, 2.62404, -0.80924), (-0.0421011, -0.00772741, -0.00879326), 22.1771
43.247, (-9.10275, 2.64799, -0.876277), (-0.040902, -0.00679479, -0.012124), 22.1771
43.427, (-9.05008, 2.62404, -0.833182), (-0.0401026, -0.00599541, -0.0119908), 22.0829
43.607, (-9.04529, 2.58095, -0.871489), (-0.0294441, -0.00679479, -0.0113247), 22.0829
43.787, (-9.02614, 2.61447, -0.871489), (-0.0405023, -0.00786064, -0.00892649), 22.13
43.967, (-9.12669, 2.65756, -0.924162), (-0.0289112, -0.00786064, -0.0101256), 22.0829
44.149, (-9.0836, 2.66714, -0.866701), (-0.0293109, -0.00652833, -0.0106585), 22.1771
44.329, (-9.03093, 2.66714, -0.699107), (-0.0345069, -0.00892649, -0.0102588), 22.0829
44.508, (-9.02614, 2.69108, -0.909797), (-0.0266462, -0.00652833, -0.0110582), 22.1771
44.689, (-9.0836, 2.68151, -0.943315), (-0.0444992, -0.00652833, -0.0102588), 22.1771
44.869, (-9.05008, 2.62883, -0.770933), (-0.029977, -0.00652833, -0.00959265), 22.0829
45.048, (-9.09796, 2.53306, -0.871489), (-0.0321087, -0.00679479, -0.0106585), 22.13
45.227, (-9.02135, 2.63841, -0.948104), (-0.0285115, -0.0081271, -0.0123905), 22.13
45.407, (-9.10754, 2.66714, -0.991199), (-0.0330413, -0.00572894, -0.0105253), 22.0829
45.585, (-9.06445, 2.64799, -0.818817), (-0.0171868, -0.00439663, -0.010392), 22.1771
45.765, (-9.07402, 2.71024, -0.708683), (-0.0297106, -0.00546248, -0.012657), 22.0829
45.946, (-9.07881, 2.65277, -1.0726), (-0.031709, -0.00666156, -0.010925), 22.1771
46.125, (-9.03571, 2.65277, -0.828393), (-0.0347733, -0.00652833, -0.0113247), 22.2241
46.303, (-9.05008, 2.6001, -0.890643), (-0.0323752, -0.0063951, -0.0114579), 22.0359
46.482, (-9.03571, 2.61926, -0.794875), (-0.0402358, -0.00559571, -0.0117243), 22.1771
46.661, (-9.07881, 2.7246, -0.857124), (-0.0201179, -0.00679479, -0.0117243), 22.0829
46.839, (-9.06445, 2.60968, -0.737414), (-0.0389035, -0.00666156, -0.010392), 22.13
47.02, (-9.03093, 2.63362, -0.761356), (-0.0377044, -0.00586217, -0.00905972), 22.13
47.201, (-9.00698, 2.6432, -0.943315), (-0.0346401, -0.00732772, -0.012657), 22.13
47.381, (-9.04529, 2.69108, -0.881066), (-0.0305099, -0.00719449, -0.0129234), 22.0829
47.561, (-9.0836, 2.55222, -0.785298), (-0.0294441, -0.00866003, -0.010392), 22.0359
47.741, (-9.09796, 2.61447, -0.92895), (-0.0346401, -0.00506279, -0.0107917), 22.1771
47.92, (-9.01177, 2.67193, -0.713472), (-0.0295773, -0.00586217, -0.0111914), 22.13
48.101, (-9.01177, 2.71502, -0.866701), (-0.0375712, -0.0081271, -0.0107917), 22.0829
48.28, (-9.07402, 2.70545, -0.790086), (-0.0277121, -0.00439663, -0.0125237), 22.13
48.459, (-9.08839, 2.57137, -0.909797), (-0.0335743, -0.0081271, -0.0101256), 22.1771
48.639, (-9.03571, 2.67193, -0.924162), (-0.033974, -0.00532925, -0.0114579), 22.13
48.819, (-9.06445, 2.63362, -0.823605), (-0.0271792, -0.00546248, -0.0113247), 22.13
49.0, (-9.06445, 2.59053, -0.790086), (-0.0359724, -0.00945941, -0.010392), 22.0829
49.178, (-9.06923, 2.62883, -0.924162), (-0.0281118, -0.00719449, -0.0118576), 22.13
49.358, (-9.05965, 2.6432, -0.80924), (-0.0382374, -0.00652833, -0.00959265), 22.0829
49.538, (-9.04529, 2.56658, -0.885855), (-0.0269127, -0.00759418, -0.0110582), 22.1771
49.716, (-9.0836, 2.70066, -0.861912), (-0.0385038, -0.00612864, -0.00892649), 22.0829
49.896, (-9.10754, 2.69108, -0.952892), (-0.0341072, -0.0063951, -0.00999234), 22.1771
50.076, (-9.09796, 2.6001, -0.814028), (-0.0375712, -0.00599541, -0.0129234), 22.13
50.256, (-9.01177, 2.59053, -0.861912), (-0.0394364, -0.00586217, -0.010392), 22.1771
50.435, (-9.05008, 2.57137, -0.92895), (-0.0330413, -0.00692802, -0.0119908), 22.2241
50.615, (-9.07881, 2.6432, -1.01514), (-0.0366386, -0.00572894, -0.0107917), 22.0829
50.794, (-9.01177, 2.58574, -0.857124), (-0.0349066, -0.00572894, -0.0111914), 22.1771
50.974, (-9.02135, 2.62404, -0.814028), (-0.035173, -0.00546248, -0.0119908), 22.0829
51.153, (-9.02135, 2.69587, -0.871489), (-0.0338407, -0.00293109, -0.00879326), 22.0829
51.333, (-9.08839, 2.63841, -0.943315), (-0.0273124, -0.0102588, -0.0122573), 22.0829
51.512, (-9.06923, 2.62404, -1.04866), (-0.0281118, -0.00466309, -0.0130567), 22.2241
51.692, (-9.07402, 2.50433, -0.785298), (-0.0365053, -0.00492955, -0.012124), 22.1771
51.872, (-9.01656, 2.6432, -0.895431), (-0.0309096, -0.00932619, -0.0123905), 22.13
52.05, (-9.07402, 2.64799, -0.756567), (-0.032242, -0.00626187, -0.0105253), 22.13
52.36, (-9.05965, 2.60968, -0.823605), (-0.0346401, -0.00772741, -0.0107917), 22.13
52.541, (-9.08839, 2.63362, -0.881066), (-0.0333078, -0.00452986, -0.00972588), 22.13
52.72, (-9.10275, 2.65756, -1.03908), (-0.0323752, -0.00732772, -0.0130567), 22.1771
52.9, (-9.01656, 2.71981, -0.924162), (-0.0343736, -0.00692802, -0.00959265), 22.1771
53.081, (-9.02135, 2.62404, -0.914585), (-0.0346401, -0.0063951, -0.00866003), 22.2712
53.261, (-9.05487, 2.55701, -0.986411), (-0.0335743, -0.00692802, -0.0101256), 22.2241
53.442, (-9.02135, 2.66235, -0.919373), (-0.0341072, -0.00586217, -0.0113247), 22.1771
53.62, (-9.10275, 2.64799, -0.933739), (-0.0310429, -0.00439663, -0.0113247), 22.0829
53.799, (-9.05965, 2.61447, -0.976834), (-0.0315758, -0.00612864, -0.00932619), 22.2241
53.979, (-9.05965, 2.62404, -0.995988), (-0.0359724, -0.00652833, -0.0119908), 22.2241
54.159, (-9.00219, 2.63841, -0.90022), (-0.0379709, -0.00532925, -0.0135896), 22.13
54.338, (-9.02135, 2.63362, -0.885855), (-0.0283782, -0.00786064, -0.0135896), 22.13
54.518, (-9.0405, 2.67672, -0.933739), (-0.0410352, -0.00546248, -0.0114579), 22.1771
54.698, (-9.09796, 2.65277, -0.948104), (-0.0315758, -0.00746095, -0.00945941), 22.1771
54.877, (-9.05965, 2.69108, -0.871489), (-0.0367718, -0.0042634, -0.0127902), 22.2241
55.058, (-9.07402, 2.68629, -0.761356), (-0.0326416, -0.00466309, -0.0113247), 22.13
55.238, (-9.07881, 2.65277, -0.842759), (-0.0341072, -0.00612864, -0.0119908), 22.2241
55.418, (-9.01177, 2.57616, -0.948104), (-0.0335743, -0.00492955, -0.0135896), 22.1771
55.597, (-9.06445, 2.63841, -0.90022), (-0.031709, -0.00652833, -0.0114579), 22.2241
55.777, (-9.25119, 2.07338, -1.30245), (-0.0540919, -0.0150551, -0.00999234), 22.13
55.957, (-8.97346, 2.89698, -1.28808), (-0.0290444, -0.0118576, -0.0130567), 22.2241
56.135, (-9.06923, 2.66235, -0.823605), (-0.0329081, -0.0063951, -0.0119908), 22.2712
56.313, (-9.0836, 2.66235, -1.03908), (-0.0341072, -0.0085268, -0.0118576), 22.3182
56.492, (-9.0405, 2.52349, -0.814028), (-0.0401026, -0.00546248, -0.00999234), 22.1771
56.67, (-9.00698, 2.61447, -0.775721), (-0.0246478, -0.00492955, -0.0137228), 22.1771
56.85, (-9.03093, 2.58095, -0.909797), (-0.0531592, -0.00586217, -0.00719449), 22.13
